number,state,title,url,created_at,updated_at,closed_at,merged_at,user,labels,seed_title_match,discovered_from_issue_timeline,referenced_seed_issues_in_body,base_ref,head_ref,merged,changed_files,additions,deletions,files_downloaded,reviews_downloaded,review_comments_downloaded,issue_comments_downloaded,body_excerpt
4998,closed,chore: Disable load test for flakes,https://github.com/coder/coder/pull/4998,2022-11-10T15:15:49Z,2022-11-10T15:31:53Z,2022-11-10T15:31:36Z,2022-11-10T15:31:36Z,kylecarbs,,True,False,,main,disableloadrun,True,1,1,0,1,1,0,0,
5160,closed,chore: Skip reconnect and complete test,https://github.com/coder/coder/pull/5160,2022-11-23T20:51:53Z,2023-02-03T19:04:28Z,2022-11-24T13:09:23Z,,BrunoQuaresma,,False,True,,main,bq/skip-reconnect-and-complete-test,False,1,1,0,1,2,1,1,The test is failing quite frequently so I'm skipping it until we have it fixed. Issue: https://github.com/coder/coder/issues/5159
5353,closed,chore: improve logging in provisionerd_test,https://github.com/coder/coder/pull/5353,2022-12-08T14:15:34Z,2022-12-09T12:12:14Z,2022-12-09T12:11:54Z,2022-12-09T12:11:54Z,mtojek,,False,True,,main,5345-provisionerd,True,1,22,17,1,1,0,0,"Related: https://github.com/coder/coder/issues/5345 Possibly related: https://github.com/coder/coder/issues/2603 This PR improves logging so that we could find the root cause of flakiness. Currently, it isn't possible to figure out why the job has succeeded, but didn't emit logs (updates)."
5727,closed,"test: Fix flaky TestServer/Logging/{Multiple,Stackdriver}",https://github.com/coder/coder/pull/5727,2023-01-16T14:47:10Z,2023-01-17T12:14:43Z,2023-01-17T12:14:30Z,2023-01-17T12:14:30Z,mafredri,,True,False,,main,mafredri/test-fix-flaky-log-test,True,2,107,63,2,4,0,1,"Saw this flaking on dogfood instance due to Terraform being downloaded and adding a good amount of time (15+ seconds) to startup. In lieu of disabling terraform download, this should help alleviate such pains."
5776,closed,fix(scaletest): increase time range check causing flake on MacOS,https://github.com/coder/coder/pull/5776,2023-01-18T22:04:49Z,2023-01-18T22:41:36Z,2023-01-18T22:41:15Z,2023-01-18T22:41:15Z,coadler,,True,False,,main,colin/fix-scaletest-flake,True,1,1,1,1,1,0,0,See flake here: https://github.com/coder/coder/actions/runs/3953218870/jobs/6769242819#step:9:452
5884,closed,chore: remove flaking e2e test,https://github.com/coder/coder/pull/5884,2023-01-26T20:46:13Z,2023-01-27T02:10:19Z,2023-01-27T02:10:01Z,2023-01-27T02:10:01Z,Kira-Pilot,,True,False,,main,remove-flaking-e2e/kira-pilot,True,1,0,48,1,1,0,0,The removed test has been giving me a hard time in CI so I'm getting rid of it for now.
6103,closed,chore: fix flake in create-admin-user test,https://github.com/coder/coder/pull/6103,2023-02-08T13:57:35Z,2023-02-08T15:37:09Z,2023-02-08T15:36:44Z,2023-02-08T15:36:44Z,deansheather,,True,False,,main,dean/create-admin-user-flake,True,1,37,28,1,3,2,0,Switches all of the tests to use ed25519 instead of all available key types to avoid needing a lot of randomness from the system.
6116,closed,fix: increase generated password length resolve flake,https://github.com/coder/coder/pull/6116,2023-02-08T20:51:09Z,2023-02-08T20:59:24Z,2023-02-08T20:59:08Z,2023-02-08T20:59:08Z,kylecarbs,,True,False,,main,createflake,True,1,1,1,1,1,0,0,
6173,closed,fix: Update flake.lock to fix Go build,https://github.com/coder/coder/pull/6173,2023-02-13T09:53:26Z,2023-02-13T10:05:43Z,2023-02-13T10:05:29Z,2023-02-13T10:05:29Z,mtojek,,True,False,,main,fix-flake-lock,True,1,6,6,1,1,0,0,Related: https://github.com/coder/coder/pull/5968 This PR fixes build problems with Go 1.20. I can see this error when I enter the `coder` directory. ``` … while calling anonymous lambda at /nix/store/vgx3678yb41cb8g2g66nlj1alf3ksh92-source/pkgs/stdenv/generic/make-derivation.nix:192:81: 191| checkDependencyList = checkDependencyList' []; 192| checkDependencyList' = positions: name: deps: lib.flip lib.imap1 deps (index: dep: | ^ 193| if lib.isDerivation dep || isNull dep || builtins.typeOf dep =
6317,closed,fix: flake in template pull,https://github.com/coder/coder/pull/6317,2023-02-23T04:51:08Z,2023-02-23T04:59:23Z,2023-02-23T04:59:08Z,2023-02-23T04:59:08Z,ammario,,True,False,,main,template-flake,True,2,28,15,2,1,0,0,<!-- Check if your change requires documentation edits before merging: https://coder.com/docs/coder. Make edits in `docs/`. -->
